,income_78,edu_year,age,edu_level,income_at_23,ln_income_at_23
275,14422.61,12,25,Secondary,67401.37,11.118421
276,22984.56,8,30,Secondary,107414.04,11.584446
277,6224.184,5,44,Elementary,29087.559,10.278066
278,25564.67,6,44,Elementary,119471.695,11.690835
279,5021.315,10,20,Secondary,23466.174,10.063315
280,12683.33,9,49,Secondary,59273.168,10.989912
281,23559.39,8,55,Secondary,110100.4,11.609148
282,25564.67,16,51,Post-Secondary,119471.695,11.690835
283,7326.568,16,24,Post-Secondary,34239.344,10.441131
284,22154.08,10,54,Secondary,103532.945,11.547646
285,11607.54,4,19,Elementary,54245.664,10.9012785
286,17465.25,12,25,Secondary,81620.57,11.309836
287,22867.82,18,26,Higher Edu,106868.48,11.579354
288,16382.08,13,19,Post-Secondary,76558.586,11.245811
289,23290.45,11,52,Secondary,108843.555,11.597667
290,21407.82,12,19,Secondary,100045.44,11.51338
291,14911.74,11,17,Secondary,69687.23,11.1517725
292,11861.71,10,23,Secondary,55433.48,10.922939
293,25564.67,12,44,Secondary,119471.695,11.690835
294,9376.175,12,28,Secondary,43817.797,10.687796
295,9464.839,8,49,Secondary,44232.152,10.697207
296,8486.584,10,54,Secondary,39660.46,10.58811
297,3895.287,11,22,Secondary,18203.895,9.809391
298,25564.67,13,33,Post-Secondary,119471.695,11.690835
299,22680.15,12,40,Secondary,105991.44,11.571114
300,24505.14,12,47,Secondary,114520.19,11.648506
301,14998.92,12,21,Secondary,70094.64,11.157601
302,1384.63,10,17,Secondary,6470.809,8.775057
303,6705.923,9,16,Secondary,31338.875,10.352614
304,13061.63,12,40,Secondary,61041.082,11.019302
305,25564.67,12,36,Secondary,119471.695,11.690835
306,25564.67,12,51,Secondary,119471.695,11.690835
307,25097.71,9,46,Secondary,117289.45,11.6724
308,18505.57,18,33,Higher Edu,86482.31,11.367695
309,14323.6,13,28,Post-Secondary,66938.66,11.111532
310,18693.24,11,27,Secondary,87359.36,11.377786
311,21944.24,12,33,Secondary,102552.3,11.538128
312,20015.81,12,26,Secondary,93540.14,11.446146
313,16470.74,12,24,Secondary,76972.92,11.251209
314,23494.37,8,28,Secondary,109796.53,11.606384
315,25378.48,12,36,Secondary,118601.57,11.683525
316,23426.4,12,42,Secondary,109478.89,11.603487
317,1399.407,10,16,Secondary,6539.866,8.785672
318,20247.81,10,52,Secondary,94624.35,11.45767
319,25564.67,14,55,Post-Secondary,119471.695,11.690835
320,10757.85,14,26,Post-Secondary,50274.793,10.825259
321,18781.9,12,43,Secondary,87773.695,11.382517
322,19438.02,7,55,Secondary,90839.945,11.416855
323,25232.18,10,49,Secondary,117917.87,11.677744
324,18666.64,12,20,Secondary,87235.05,11.376362
325,6478.353,10,18,Secondary,30275.37,10.3180895
326,25564.67,16,31,Post-Secondary,119471.695,11.690835
327,25564.67,18,54,Higher Edu,119471.695,11.690835
328,17289.4,12,28,Secondary,80798.77,11.299717
329,17657.35,12,24,Secondary,82518.31,11.320776
330,9376.175,8,21,Secondary,43817.797,10.687796
331,25564.67,8,39,Secondary,119471.695,11.690835
332,25564.67,12,28,Secondary,119471.695,11.690835
333,23653.97,12,40,Secondary,110542.4,11.613154
334,22192.5,7,38,Secondary,103712.49,11.549377
335,9925.889,10,16,Secondary,46386.78,10.74477
336,21153.66,12,49,Secondary,98857.664,11.501436
337,20002.51,14,28,Post-Secondary,93477.984,11.445481
338,25564.67,12,22,Secondary,119471.695,11.690835
339,9862.347,12,39,Secondary,46089.83,10.738348
340,12514.87,16,27,Post-Secondary,58485.902,10.9765415
341,15937.28,12,21,Secondary,74479.89,11.218285
342,23724.9,11,48,Secondary,110873.875,11.616149
343,25564.67,12,30,Secondary,119471.695,11.690835
344,10026.37,12,20,Secondary,46856.363,10.754842
345,13858.12,13,20,Post-Secondary,64763.33,11.078495
346,8876.704,12,23,Secondary,41483.613,10.633054
347,12640.47,12,33,Secondary,59072.867,10.986527
348,25564.67,12,31,Secondary,119471.695,11.690835
349,731.4747,12,28,Secondary,3418.41,8.13693
350,582.2243,13,23,Post-Secondary,2720.9163,7.908724
351,15959.45,12,38,Secondary,74583.5,11.219675
352,18147.96,12,37,Secondary,84811.09,11.348182
353,5127.711,10,16,Secondary,23963.396,10.084283
354,23970.2,9,47,Secondary,112020.234,11.626435
355,10248.03,9,17,Secondary,47892.25,10.776709
356,18050.43,12,35,Secondary,84355.305,11.342793
357,8199.905,7,19,Secondary,38320.723,10.553746
358,10997.24,9,36,Secondary,51393.543,10.847268
359,25564.67,18,51,Higher Edu,119471.695,11.690835
360,25564.67,15,55,Post-Secondary,119471.695,11.690835
361,8808.728,16,29,Post-Secondary,41165.938,10.625366
362,25564.67,16,46,Post-Secondary,119471.695,11.690835
363,25564.67,14,30,Post-Secondary,119471.695,11.690835
364,23093.91,14,28,Post-Secondary,107925.06,11.589192
365,21899.91,12,48,Secondary,102345.125,11.536106
366,21891.04,11,26,Secondary,102303.67,11.535701
367,23587.47,12,32,Secondary,110231.625,11.610339
368,13012.86,11,20,Secondary,60813.164,11.015562
369,20666.01,12,21,Secondary,96578.73,11.478114
370,8962.412,9,20,Secondary,41884.152,10.642663
371,12033.13,4,32,Elementary,56234.58,10.937287
372,2748.571,12,18,Secondary,12844.932,9.460705
373,3250.998,12,51,Secondary,15192.931,9.628586
374,25564.67,15,32,Post-Secondary,119471.695,11.690835
375,4047.493,16,26,Post-Secondary,18915.2,9.847721
376,9436.762,15,24,Post-Secondary,44100.938,10.694237
377,3923.364,8,46,Secondary,18335.107,9.816573
378,20668.96,16,21,Post-Secondary,96592.516,11.478256
379,25564.67,16,32,Post-Secondary,119471.695,11.690835
380,7725.555,18,30,Higher Edu,36103.934,10.494157
381,25564.67,18,25,Higher Edu,119471.695,11.690835
382,22566.36,12,51,Secondary,105459.66,11.566084
383,16627.38,9,21,Secondary,77704.95,11.260674
384,25564.67,18,34,Higher Edu,119471.695,11.690835
385,25564.67,5,29,Elementary,119471.695,11.690835
386,10791.84,8,50,Secondary,50433.64,10.828414
387,16685.01,11,21,Secondary,77974.266,11.264134
388,25045.99,12,49,Secondary,117047.74,11.670338
389,9377.653,3,52,Elementary,43824.707,10.687953
390,17076.61,4,47,Elementary,79804.336,11.2873335
391,25279.47,4,24,Elementary,118138.87,11.679616
392,10169.71,12,49,Secondary,47526.234,10.769037
393,564.4916,12,55,Secondary,2638.0457,7.877794
394,25564.67,12,28,Secondary,119471.695,11.690835
395,1687.564,13,19,Post-Secondary,7886.514,8.97291
396,25564.67,16,35,Post-Secondary,119471.695,11.690835
397,15102.37,12,31,Secondary,70578.09,11.164475
398,25564.67,12,44,Secondary,119471.695,11.690835
399,25564.67,12,37,Secondary,119471.695,11.690835
400,8331.422,12,46,Secondary,38935.34,10.569657
401,16046.63,12,29,Secondary,74990.92,11.225122
402,14682.69,12,55,Secondary,68616.805,11.136292
403,22739.26,12,22,Secondary,106267.67,11.573716
404,16760.37,11,18,Secondary,78326.445,11.2686405
405,25564.67,13,32,Post-Secondary,119471.695,11.690835
406,24521.39,12,49,Secondary,114596.125,11.649169
407,25564.67,16,27,Post-Secondary,119471.695,11.690835
408,5906.473,13,19,Post-Secondary,27602.795,10.225673
409,25564.67,3,38,Elementary,119471.695,11.690835
410,25564.67,12,40,Secondary,119471.695,11.690835
411,25012.0,12,21,Secondary,116888.9,11.66898
412,25564.67,12,29,Secondary,119471.695,11.690835
413,25564.67,12,39,Secondary,119471.695,11.690835
414,25564.67,14,34,Post-Secondary,119471.695,11.690835
415,25564.67,18,40,Higher Edu,119471.695,11.690835
416,2358.452,14,31,Post-Secondary,11021.783,9.307629
417,25564.67,17,28,Higher Edu,119471.695,11.690835
418,6345.358,11,17,Secondary,29653.842,10.297347
419,21033.96,12,35,Secondary,98298.27,11.495762
420,20612.81,8,44,Secondary,96330.11,11.475536
421,25564.67,8,54,Secondary,119471.695,11.690835
422,25564.67,10,30,Secondary,119471.695,11.690835
423,24746.01,12,29,Secondary,115645.84,11.658288
424,10666.23,10,25,Secondary,49846.63,10.816706
425,22304.8,5,42,Elementary,104237.305,11.554425
426,17763.75,6,48,Elementary,83015.555,11.326783
427,25564.67,11,49,Secondary,119471.695,11.690835
428,10388.42,12,38,Secondary,48548.336,10.790316
429,25564.67,15,38,Post-Secondary,119471.695,11.690835
430,25564.67,12,31,Secondary,119471.695,11.690835
431,25564.67,12,41,Secondary,119471.695,11.690835
432,25564.67,13,25,Post-Secondary,119471.695,11.690835
433,11804.08,14,21,Post-Secondary,55164.156,10.918069
434,10700.22,14,20,Post-Secondary,50005.473,10.819888
435,1324.043,14,54,Post-Secondary,6187.667,8.730313
436,25564.67,8,41,Secondary,119471.695,11.690835
437,1907.745,7,49,Secondary,8915.489,9.095546
438,13003.99,6,46,Elementary,60771.71,11.014879
439,16559.4,11,18,Secondary,77387.26,11.2565775
440,22366.87,10,30,Secondary,104527.375,11.557204
441,16880.07,12,39,Secondary,78885.84,11.275757
442,9438.24,10,17,Secondary,44107.848,10.694393
443,21403.39,12,28,Secondary,100024.734,11.513173
444,8612.19,12,29,Secondary,40247.457,10.602802
445,24562.77,12,39,Secondary,114789.5,11.650855
446,16763.33,7,38,Secondary,78340.28,11.268817
447,12548.85,12,29,Secondary,58644.7,10.979253
448,21966.41,14,39,Post-Secondary,102655.91,11.539138
449,964.9555,11,18,Secondary,4509.5386,8.41395
450,474.3502,10,17,Secondary,2216.7869,7.703814
451,25564.67,8,47,Secondary,119471.695,11.690835
452,1028.498,17,24,Higher Edu,4806.493,8.477723
453,25564.67,12,30,Secondary,119471.695,11.690835
454,9241.702,7,42,Secondary,43189.363,10.673349
455,25564.67,16,27,Post-Secondary,119471.695,11.690835
456,25564.67,12,50,Secondary,119471.695,11.690835
457,23498.81,14,39,Post-Secondary,109817.29,11.606573
458,7313.269,18,35,Higher Edu,34177.19,10.439314
459,13402.98,8,37,Secondary,62636.32,11.0451
460,3935.186,16,29,Post-Secondary,18390.355,9.819582
461,5380.402,10,17,Secondary,25144.3,10.132386
462,16512.12,12,20,Secondary,77166.3,11.253718
463,13197.58,8,52,Secondary,61676.418,11.029657
464,11965.15,12,43,Secondary,55916.89,10.931622
465,21251.19,11,55,Secondary,99313.45,11.506037
466,10446.05,13,31,Post-Secondary,48817.656,10.795847
467,12599.1,13,29,Post-Secondary,58879.53,10.983249
468,11323.82,12,26,Secondary,52919.754,10.876532
469,24143.1,12,43,Secondary,112828.25,11.633622
470,21608.8,12,18,Secondary,100984.68,11.522724
471,21710.76,12,38,Secondary,101461.17,11.5274315
472,20215.3,14,54,Post-Secondary,94472.42,11.456063
473,11684.38,18,26,Higher Edu,54604.76,10.907876
474,25277.99,12,41,Secondary,118131.95,11.679558
475,14545.26,14,24,Post-Secondary,67974.55,11.126888
476,12723.23,12,45,Secondary,59459.633,10.9930525
477,25564.67,14,45,Post-Secondary,119471.695,11.690835
478,23389.46,12,32,Secondary,109306.266,11.601909
479,20658.62,10,34,Secondary,96544.19,11.4777565
480,8253.103,12,30,Secondary,38569.33,10.560213
481,3700.227,5,26,Elementary,17292.318,9.758018
482,1870.802,12,28,Secondary,8742.843,9.075991
483,25564.67,7,27,Secondary,119471.695,11.690835
484,19964.09,12,37,Secondary,93298.44,11.443559
485,25564.67,12,33,Secondary,119471.695,11.690835
486,5829.631,10,16,Secondary,27243.688,10.212577
487,14138.89,12,46,Secondary,66075.45,11.098553
488,17842.07,12,41,Secondary,83381.57,11.3311825
489,25564.67,12,46,Secondary,119471.695,11.690835
490,25564.67,18,50,Higher Edu,119471.695,11.690835
491,13434.01,9,49,Secondary,62781.33,11.047413
492,25564.67,12,34,Secondary,119471.695,11.690835
493,22740.73,12,55,Secondary,106274.55,11.573781
494,7322.135,10,16,Secondary,34218.625,10.440525
495,25564.67,12,39,Secondary,119471.695,11.690835
496,398.9862,12,33,Secondary,1864.5873,7.530795
497,22915.11,10,38,Secondary,107089.47,11.58142
498,962.0,12,19,Secondary,4495.7266,8.410883
499,3583.487,12,23,Secondary,16746.756,9.72596
500,8096.464,12,45,Secondary,37837.31,10.541051
501,18272.09,16,26,Post-Secondary,85391.19,11.354999
502,4588.341,10,36,Secondary,21442.752,9.973142
503,17330.78,12,28,Secondary,80992.15,11.302108
504,21286.65,12,40,Secondary,99479.17,11.507704
505,16531.33,12,32,Secondary,77256.07,11.254881
506,25477.48,12,39,Secondary,119064.234,11.687418
507,25564.67,12,42,Secondary,119471.695,11.690835
508,24883.44,12,52,Secondary,116288.09,11.663826
509,19763.12,12,20,Secondary,92359.234,11.433441
510,15928.41,10,28,Secondary,74438.44,11.217728
511,25564.67,13,25,Post-Secondary,119471.695,11.690835
512,1885.579,8,52,Secondary,8811.9,9.0838585
513,20841.86,14,21,Post-Secondary,97400.52,11.486587
514,18572.07,12,34,Secondary,86793.09,11.371283
515,18573.55,14,27,Post-Secondary,86800.01,11.371362
516,8733.364,10,16,Secondary,40813.742,10.616775
517,3104.704,13,44,Post-Secondary,14509.253,9.582541
518,2365.84,13,37,Post-Secondary,11056.311,9.310757
519,19073.02,15,31,Post-Secondary,89134.19,11.397899
